plot,habitat,ranch,bdffp_reserve_no,ha_id_number,tag_number,x,y,year
5750,CF,EST,1501,1273,415,3.2,8.3,2009
5750,CF,EST,1501,1274,416,7,8,2009
5750,CF,EST,1501,1275,417,0.6,0.9,2009
5750,CF,EST,1501,1279,421,1.4,5.1,2009
2107,1-ha,DIM,2107,128,134,5,9.8,2009
5750,CF,EST,1501,1280,422,-0.2,6.4,2009
5750,CF,EST,1501,1281,423,4.4,1.5,2009
5750,CF,EST,1501,1282,424,3.5,1.6,2009
5750,CF,EST,1501,1283,425,9.5,4.6,2009
5750,CF,EST,1501,1284,426,-0.6,5,2009
5750,CF,EST,1501,1285,427,1.3,6,2009
5750,CF,EST,1501,1286,428,0.9,5,2009
5750,CF,EST,1501,1287,429,0,6.6,2009
5750,CF,EST,1501,1288,430,7.7,5.5,2009
5750,CF,EST,1501,1289,431,9.1,7.8,2009
5750,CF,EST,1501,1290,432,4.6,5.8,2009
5750,CF,EST,1501,1291,433,6.2,1,2009
5750,CF,EST,1501,1292,434,7.2,7.3,2009
5750,CF,EST,1501,1293,435,0.1,5.6,2009
5750,CF,EST,1501,1296,438,5,1.9,2009
5750,CF,EST,1501,1298,440,4.7,6.7,2009
5750,CF,EST,1501,1299,441,7.2,1.2,2009
2107,1-ha,DIM,2107,13,13,9.1,1.9,2009
2107,1-ha,DIM,2107,130,137,3.5,8.6,2009
5750,CF,EST,1501,1300,442,3.5,0.7,2009
5750,CF,EST,1501,1301,443,6.2,9.3,2009
5750,CF,EST,1501,1302,444,2.8,8.1,2009
5750,CF,EST,1501,1304,446,4.1,9.4,2009
5750,CF,EST,1501,1305,447,1.7,8.3,2009
5750,CF,EST,1501,1306,448,3.9,9.5,2009
5750,CF,EST,1501,1307,451,0.7,3.4,2009
5750,CF,EST,1501,1308,452,3.2,8.2,2009
2107,1-ha,DIM,2107,131,138,4.2,7.6,2009
5750,CF,EST,1501,1310,454,7.1,2.8,2009
5750,CF,EST,1501,1314,458,4.3,4.2,2009
5750,CF,EST,1501,1316,460,5.7,0.3,2009
5750,CF,EST,1501,1317,461,6,2.1,2009
5750,CF,EST,1501,1319,463,4.7,6.2,2009
2107,1-ha,DIM,2107,132,139,3.2,3.3,2009
5750,CF,EST,1501,1325,469,6.3,3.3,2009
5750,CF,EST,1501,1329,473,6.4,2.5,2009
2107,1-ha,DIM,2107,133,140,6.1,1.8,2009
5750,CF,EST,1501,1330,474,0.1,7.6,2009
5750,CF,EST,1501,1331,475,8.1,8.7,2009
5750,CF,EST,1501,1343,487,8.2,4.4,2009
5750,CF,EST,1501,1348,492,9.6,1.5,2009
2107,1-ha,DIM,2107,135,142,5.6,4.5,2009
5750,CF,EST,1501,1356,501,3.5,4.5,2009
5750,CF,EST,1501,1358,503,4.8,1.4,2009
5750,CF,EST,1501,1361,506,2.1,9.7,2009
5750,CF,EST,1501,1364,509,4.8,2.2,2009
5750,CF,EST,1501,1367,512,6.5,4.5,2009
5750,CF,EST,1501,1369,514,0.9,3.7,2009
2107,1-ha,DIM,2107,137,144,6,6.6,2009
2107,1-ha,DIM,2107,138,145,6.6,1.7,2009
5750,CF,EST,1501,1382,527,8.2,6.9,2009
2107,1-ha,DIM,2107,139,146,10,7.9,2009
5750,CF,EST,1501,1393,538,9.2,2.8,2009
5750,CF,EST,1501,1395,540,4.8,0.5,2009
5750,CF,EST,1501,1398,543,5,7.9,2009
2107,1-ha,DIM,2107,14,14,0.7,6.8,2009
2107,1-ha,DIM,2107,140,147,7.2,1.7,2009
5750,CF,EST,1501,1401,546,7.7,8.9,2009
5750,CF,EST,1501,1402,547,7,2.9,2009
5750,CF,EST,1501,1404,549,7.2,4.6,2009
5750,CF,EST,1501,1410,555,2.2,0.9,2009
5750,CF,EST,1501,1411,556,4.9,3.2,2009
5750,CF,EST,1501,1412,557,3.2,5.9,2009
5750,CF,EST,1501,1414,559,8.5,6.6,2009
5750,CF,EST,1501,1415,560,9.3,9.5,2009
5750,CF,EST,1501,1418,563,3.6,3.9,2009
5750,CF,EST,1501,1421,566,3.9,6.7,2009
5750,CF,EST,1501,1426,571,3.4,3.5,2009
2107,1-ha,DIM,2107,143,150,3.2,3.5,2009
5750,CF,EST,1501,1430,575,3.9,8,2009
5750,CF,EST,1501,1432,577,5.7,2.5,2009
5750,CF,EST,1501,1435,580,9.2,3.1,2009
5750,CF,EST,1501,1436,581,1.9,5.1,2009
5750,CF,EST,1501,1439,584,8.3,6.1,2009
2107,1-ha,DIM,2107,144,151,1.1,9.9,2009
5750,CF,EST,1501,1447,592,7.8,3.1,2009
5750,CF,EST,1501,1448,593,2,10,2009
2107,1-ha,DIM,2107,145,152,4.1,9.5,2009
5750,CF,EST,1501,1450,595,8.1,0.7,2009
5750,CF,EST,1501,1451,596,9.5,2.8,2009
2107,1-ha,DIM,2107,146,153,1,5.6,2009
5750,CF,EST,1501,1461,606,8.3,2.9,2009
5750,CF,EST,1501,1462,607,4.3,9.8,2009
5750,CF,EST,1501,1469,614,7.4,5.7,2009
2107,1-ha,DIM,2107,147,154,9.6,9.4,2009
5750,CF,EST,1501,1474,619,9.3,9.1,2009
5750,CF,EST,1501,1475,620,0.2,0.7,2009
5750,CF,EST,1501,1477,622,3.6,9.6,2009
5750,CF,EST,1501,1478,623,3.3,5.8,2009
2107,1-ha,DIM,2107,148,155,5,0.8,2009
5750,CF,EST,1501,1482,627,9.4,9.4,2009
5750,CF,EST,1501,1484,629,3.9,7.8,2009
5750,CF,EST,1501,1485,630,6,3.3,2009
5750,CF,EST,1501,1487,632,3.5,8.9,2009
2107,1-ha,DIM,2107,149,156,4.4,5,2009
5750,CF,EST,1501,1492,637,1.9,1.6,2009
2107,1-ha,DIM,2107,15,15,1.6,3.2,2009
2107,1-ha,DIM,2107,150,157,10,5.4,2009
5750,CF,EST,1501,1500,645,1,9.2,2009
5750,CF,EST,1501,1502,647,7,2.2,2009
5750,CF,EST,1501,1504,649,3.1,3.8,2009
2107,1-ha,DIM,2107,151,158,6.5,1.8,2009
5750,CF,EST,1501,1511,656,8.9,1,2009
5750,CF,EST,1501,1513,658,3.9,1.8,2009
5750,CF,EST,1501,1516,661,0.8,3.6,2009
5750,CF,EST,1501,1517,662,0.5,2.6,2009
2107,1-ha,DIM,2107,152,159,0.5,3.4,2009
5750,CF,EST,1501,1520,665,9.2,0.6,2009
5750,CF,EST,1501,1522,667,4.5,6.2,2009
5750,CF,EST,1501,1523,668,4.7,5.6,2009
5750,CF,EST,1501,1526,671,3.1,2.6,2009
2107,1-ha,DIM,2107,153,160,8,2.5,2009
5750,CF,EST,1501,1532,677,1.3,1.5,2009
5750,CF,EST,1501,1538,683,5.3,3.3,2009
5750,CF,EST,1501,1539,684,4.4,0.1,2009
2107,1-ha,DIM,2107,154,161,7.3,8.1,2009
5750,CF,EST,1501,1541,686,7,0.7,2009
5750,CF,EST,1501,1544,689,2.1,3.2,2009
5750,CF,EST,1501,1545,690,6.3,9.8,2009
5750,CF,EST,1501,1548,693,2.7,5.6,2009
2107,1-ha,DIM,2107,155,162,1.1,3.6,2009
5750,CF,EST,1501,1551,696,6.8,6.5,2009
5750,CF,EST,1501,1552,697,7.1,2,2009
5750,CF,EST,1501,1557,702,9.7,2,2009
5750,CF,EST,1501,1562,707,5.4,1.1,2009
5750,CF,EST,1501,1565,710,8.9,5.8,2009
5750,CF,EST,1501,1566,711,3.9,8.7,2009
5750,CF,EST,1501,1568,713,3.6,4.1,2009
5750,CF,EST,1501,1575,720,4.5,7.1,2009
5750,CF,EST,1501,1577,722,10,0.9,2009
2107,1-ha,DIM,2107,158,165,3.6,3.5,2009
5750,CF,EST,1501,1581,726,8,2.9,2009
5750,CF,EST,1501,1583,728,8.5,1.9,2009
5750,CF,EST,1501,1588,733,8.5,7.8,2009
5750,CF,EST,1501,1591,736,1.1,9.1,2009
5750,CF,EST,1501,1593,738,2.6,4.7,2009
5750,CF,EST,1501,1595,740,1.8,0.1,2009
5750,CF,EST,1501,1596,741,7.5,5.7,2009
5750,CF,EST,1501,1600,745,1.2,10,2009
5750,CF,EST,1501,1602,747,-0.5,6.5,2009
5750,CF,EST,1501,1604,749,4.4,9.2,2009
5750,CF,EST,1501,1609,755,7,0.9,2009
5750,CF,EST,1501,1617,763,9.2,3.5,2009
5750,CF,EST,1501,1618,764,6.6,5.3,2009
5750,CF,EST,1501,1620,766,9.2,3.3,2009
5750,CF,EST,1501,1626,772,5.9,7.4,2009
5750,CF,EST,1501,1629,775,6.5,8.5,2009
5750,CF,EST,1501,1630,776,5.9,5.9,2009
5750,CF,EST,1501,1631,777,2.6,7.9,2009
5750,CF,EST,1501,1633,779,1.9,4.2,2009
5750,CF,EST,1501,1634,780,2.9,8.3,2009
5750,CF,EST,1501,1635,781,5.6,0.1,2009
5750,CF,EST,1501,1638,784,8,8.3,2009
5750,CF,EST,1501,1641,787,2.9,8.1,2009
5750,CF,EST,1501,1656,802,9.5,8,2009
5750,CF,EST,1501,1658,804,2.6,8.4,2009
5750,CF,EST,1501,1659,805,5.6,2.8,2009
5750,CF,EST,1501,1662,808,3.6,8.4,2009
5750,CF,EST,1501,1665,811,5.1,9.1,2009
5750,CF,EST,1501,1669,815,4,4.4,2009
5750,CF,EST,1501,1671,817,1.6,8.3,2009
5750,CF,EST,1501,1672,818,8.1,2.3,2009
5750,CF,EST,1501,1673,819,3.7,3.9,2009
5750,CF,EST,1501,1675,821,7.5,2.4,2009
5750,CF,EST,1501,1676,822,7.2,9.1,2009
5750,CF,EST,1501,1684,830,8.1,9.1,2009
5750,CF,EST,1501,1685,831,5.2,4.7,2009
5750,CF,EST,1501,1689,835,3.1,3,2009
5750,CF,EST,1501,1690,836,3.1,9.4,2009
5750,CF,EST,1501,1692,838,7.3,6.1,2009
5750,CF,EST,1501,1694,840,8.4,2.5,2009
5750,CF,EST,1501,1695,841,5.6,2.6,2009
5750,CF,EST,1501,1696,842,5,2.7,2009
5750,CF,EST,1501,1697,843,6.3,2.1,2009
5750,CF,EST,1501,1698,844,5.8,2.4,2009
5750,CF,EST,1501,1699,845,5.6,2.1,2009
5750,CF,EST,1501,1703,849,5.8,2.1,2009
5750,CF,EST,1501,1704,850,4.8,1.8,2009
5750,CF,EST,1501,1705,851,4.6,9.6,2009
5750,CF,EST,1501,1706,852,7.5,1.6,2009
5750,CF,EST,1501,1709,855,4.9,9.4,2009
5750,CF,EST,1501,1710,856,10,4.9,2009
5750,CF,EST,1501,1713,859,5.6,8.9,2009
5750,CF,EST,1501,1714,860,4.6,9.3,2009
5750,CF,EST,1501,1715,861,4.8,9.7,2009
5750,CF,EST,1501,1722,868,4,2.3,2009
5750,CF,EST,1501,1723,869,6.6,4.4,2009
5750,CF,EST,1501,1724,870,3.3,7.7,2009
5750,CF,EST,1501,1726,872,5.3,9,2009
5750,CF,EST,1501,1727,873,8.5,7.5,2009
5750,CF,EST,1501,1728,874,7.2,2.5,2009
5750,CF,EST,1501,1729,875,2.8,4.7,2009
5750,CF,EST,1501,1730,876,8.3,5.5,2009
5750,CF,EST,1501,1731,878,3.3,2,2009
5750,CF,EST,1501,1732,879,0.3,0.9,2009
5750,CF,EST,1501,1734,881,7.9,2.3,2009
5750,CF,EST,1501,1737,884,1.7,2.1,2009
5750,CF,EST,1501,1741,888,4.9,3.5,2009
5750,CF,EST,1501,1742,889,8,4.6,2009
5750,CF,EST,1501,1745,893,2.6,9.3,2009
5750,CF,EST,1501,1748,896,4,3.5,2009
5750,CF,EST,1501,1749,897,3.5,10,2009
5750,CF,EST,1501,1750,898,6.1,6.3,2009
5750,CF,EST,1501,1751,899,1.7,2.4,2009
5750,CF,EST,1501,1756,904,8.1,1,2009
5750,CF,EST,1501,1758,906,3.8,7.2,2009
5750,CF,EST,1501,1759,907,3.4,6.3,2009
5750,CF,EST,1501,1760,908,5.5,9.8,2009
5750,CF,EST,1501,1763,912,3.9,7.8,2009
5750,CF,EST,1501,1764,913,6.4,2.7,2009
5750,CF,EST,1501,1768,917,5.5,4.8,2009
5750,CF,EST,1501,1771,920,2.8,7.1,2009
5750,CF,EST,1501,1772,921,9.9,8.4,2009
5750,CF,EST,1501,1774,923,8,5.6,2009
5750,CF,EST,1501,1776,925,4.2,7.3,2009
5750,CF,EST,1501,1778,927,1.6,-0.3,2009
5750,CF,EST,1501,1779,928,9.1,9.4,2009
5750,CF,EST,1501,1780,929,6.8,8.4,2009
5750,CF,EST,1501,1781,930,7.1,0.9,2009
5750,CF,EST,1501,1782,931,6.8,7,2009
5750,CF,EST,1501,1784,933,2.7,3.6,2009
5750,CF,EST,1501,1786,935,9.8,3.9,2009
5750,CF,EST,1501,1787,936,9.8,7.4,2009
5750,CF,EST,1501,1789,938,5.5,9.5,2009
5750,CF,EST,1501,1790,939,2.6,-0.4,2009
5750,CF,EST,1501,1795,944,8.3,2.1,2009
5750,CF,EST,1501,1796,945,4,2.4,2009
5750,CF,EST,1501,1798,947,7,7.8,2009
2107,1-ha,DIM,2107,18,18,9.3,1.5,2009
5750,CF,EST,1501,1800,949,8.4,1.2,2009
5750,CF,EST,1501,1801,950,2.1,4,2009
5750,CF,EST,1501,1802,951,2.8,5.4,2009
5750,CF,EST,1501,1803,952,4.8,9.1,2009
5750,CF,EST,1501,1804,953,5.9,6.1,2009
5750,CF,EST,1501,1806,955,2.2,1.8,2009
5750,CF,EST,1501,1807,956,2.5,8.4,2009
5750,CF,EST,1501,1808,957,6.1,1.7,2009
5750,CF,EST,1501,1811,960,3.3,8.7,2009
5750,CF,EST,1501,1812,961,7,0.7,2009
5750,CF,EST,1501,1813,962,4.8,9.8,2009
5750,CF,EST,1501,1814,963,1,3.2,2009
5750,CF,EST,1501,1815,964,2.6,8.3,2009
