plot,habitat,ranch,bdffp_reserve_no,ha_id_number,tag_number,x,y,year
2107,1-ha,DIM,2107,1,1,4.1,4.8,2009
2107,1-ha,DIM,2107,100,104,6.8,7.4,2009
5750,CF,EST,1501,1000,135,9.4,6.7,2009
5750,CF,EST,1501,1001,136,5.1,0,2009
5750,CF,EST,1501,1002,137,2.6,8.7,2009
5750,CF,EST,1501,1003,138,2.1,1.7,2009
5750,CF,EST,1501,1004,139,9.7,0.2,2009
5750,CF,EST,1501,1005,140,5.1,9.9,2009
5750,CF,EST,1501,1006,141,8,5.2,2009
5750,CF,EST,1501,1007,142,2.1,6.8,2009
5750,CF,EST,1501,1009,144,9.4,0.5,2009
5750,CF,EST,1501,1010,145,9.4,6.9,2009
5750,CF,EST,1501,1011,146,1.6,2.5,2009
5750,CF,EST,1501,1012,147,9.7,7.9,2009
5750,CF,EST,1501,1013,148,9.8,6.7,2009
5750,CF,EST,1501,1014,149,0.8,1.6,2009
5750,CF,EST,1501,1016,151,9,0.5,2009
5750,CF,EST,1501,1017,152,9,5.8,2009
5750,CF,EST,1501,1018,153,5.9,8.1,2009
2107,1-ha,DIM,2107,102,106,0.4,8.9,2009
5750,CF,EST,1501,1020,155,3,9.9,2009
5750,CF,EST,1501,1022,157,6.2,2.7,2009
5750,CF,EST,1501,1023,158,9.1,6.5,2009
5750,CF,EST,1501,1024,159,8.2,6.1,2009
5750,CF,EST,1501,1026,162,6.5,9,2009
5750,CF,EST,1501,1027,163,7.6,7.2,2009
5750,CF,EST,1501,1029,165,7.7,9.9,2009
2107,1-ha,DIM,2107,103,107,7.9,7.3,2009
5750,CF,EST,1501,1030,166,0.4,2.6,2009
5750,CF,EST,1501,1031,167,9.2,2.9,2009
5750,CF,EST,1501,1034,170,7.2,2.6,2009
5750,CF,EST,1501,1035,171,4.2,7.4,2009
5750,CF,EST,1501,1036,172,5.6,9.8,2009
5750,CF,EST,1501,1037,173,5.6,3.9,2009
5750,CF,EST,1501,1038,174,8.7,1.4,2009
5750,CF,EST,1501,1039,175,3.2,8,2009
5750,CF,EST,1501,1041,177,9.6,8.6,2009
5750,CF,EST,1501,1042,178,3.9,2.2,2009
5750,CF,EST,1501,1043,179,0.6,4.5,2009
5750,CF,EST,1501,1044,180,9.9,5.7,2009
5750,CF,EST,1501,1045,181,8.1,2.8,2009
5750,CF,EST,1501,1048,184,5.2,2,2009
2107,1-ha,DIM,2107,105,109,5.45,0.65,2009
5750,CF,EST,1501,1050,186,6,5.4,2009
5750,CF,EST,1501,1051,187,6.5,3.6,2009
5750,CF,EST,1501,1053,189,0.6,3.4,2009
5750,CF,EST,1501,1055,191,3.1,0.3,2009
5750,CF,EST,1501,1056,192,3.3,0.1,2009
5750,CF,EST,1501,1058,194,4.4,6.6,2009
5750,CF,EST,1501,1059,195,3.6,8.4,2009
2107,1-ha,DIM,2107,106,110,0.5,3.4,2009
5750,CF,EST,1501,1060,196,9.3,3.8,2009
5750,CF,EST,1501,1061,197,8.7,1.7,2009
5750,CF,EST,1501,1062,198,4.4,6.4,2009
5750,CF,EST,1501,1063,199,5.8,3.7,2009
5750,CF,EST,1501,1064,200,5.5,6.8,2009
5750,CF,EST,1501,1065,201,6.8,7.6,2009
5750,CF,EST,1501,1066,202,5.9,2.7,2009
5750,CF,EST,1501,1067,203,2,3.1,2009
5750,CF,EST,1501,1068,204,0.6,4.1,2009
5750,CF,EST,1501,1069,205,0.6,3.9,2009
2107,1-ha,DIM,2107,107,111,4.4,7.1,2009
5750,CF,EST,1501,1070,206,9.3,3.7,2009
5750,CF,EST,1501,1072,208,6.4,2.4,2009
5750,CF,EST,1501,1073,209,5.9,2.2,2009
5750,CF,EST,1501,1074,210,6.5,2.3,2009
5750,CF,EST,1501,1075,211,0.1,6.8,2009
5750,CF,EST,1501,1077,213,8.7,3.8,2009
5750,CF,EST,1501,1078,214,3,6.3,2009
5750,CF,EST,1501,1079,215,3.3,7.7,2009
2107,1-ha,DIM,2107,108,112,2.1,3.3,2009
5750,CF,EST,1501,1080,216,5.5,4.3,2009
5750,CF,EST,1501,1081,217,2.7,8.4,2009
5750,CF,EST,1501,1082,218,10,9,2009
5750,CF,EST,1501,1084,220,4,5.8,2009
5750,CF,EST,1501,1085,221,3.1,1.8,2009
5750,CF,EST,1501,1087,223,3.6,7.7,2009
5750,CF,EST,1501,1088,224,0.3,2.6,2009
5750,CF,EST,1501,1089,225,5.3,3.6,2009
2107,1-ha,DIM,2107,109,113,5.1,8.6,2009
5750,CF,EST,1501,1090,226,6.8,5.3,2009
5750,CF,EST,1501,1091,227,8.6,0.7,2009
5750,CF,EST,1501,1092,228,7,3.3,2009
5750,CF,EST,1501,1093,229,6.6,3.9,2009
5750,CF,EST,1501,1094,230,7.4,0.3,2009
5750,CF,EST,1501,1095,231,8.9,2.5,2009
5750,CF,EST,1501,1096,232,1.6,0.8,2009
5750,CF,EST,1501,1097,233,7.8,5.4,2009
5750,CF,EST,1501,1098,234,2.3,7.3,2009
2107,1-ha,DIM,2107,11,11,2.9,5.6,2009
5750,CF,EST,1501,1102,237,4.7,0.7,2009
5750,CF,EST,1501,1103,238,4.9,5.2,2009
5750,CF,EST,1501,1104,239,0.4,4,2009
5750,CF,EST,1501,1105,240,5.4,1.5,2009
5750,CF,EST,1501,1106,241,1.5,7.5,2009
5750,CF,EST,1501,1107,242,7.6,6.8,2009
5750,CF,EST,1501,1108,243,3.7,0.6,2009
2107,1-ha,DIM,2107,111,115,4.4,1.4,2009
5750,CF,EST,1501,1110,245,0.8,0.7,2009
5750,CF,EST,1501,1111,249,5,6.9,2009
5750,CF,EST,1501,1112,250,1.8,4.9,2009
5750,CF,EST,1501,1113,251,6.1,4.2,2009
5750,CF,EST,1501,1115,253,4.2,3.3,2009
5750,CF,EST,1501,1116,254,5.9,6.5,2009
5750,CF,EST,1501,1117,255,5.1,1.2,2009
2107,1-ha,DIM,2107,112,117,1.8,1.7,2009
5750,CF,EST,1501,1120,258,7.2,6.2,2009
5750,CF,EST,1501,1121,259,3.2,2.6,2009
5750,CF,EST,1501,1122,260,9.2,3.5,2009
5750,CF,EST,1501,1123,261,9.2,3.1,2009
5750,CF,EST,1501,1124,262,7.1,5.7,2009
5750,CF,EST,1501,1125,263,5.3,0.5,2009
5750,CF,EST,1501,1126,264,5.7,4.1,2009
5750,CF,EST,1501,1127,265,5,5.5,2009
5750,CF,EST,1501,1128,267,0.5,2.5,2009
5750,CF,EST,1501,1129,268,2.2,4.5,2009
2107,1-ha,DIM,2107,113,118,9.7,7.4,2009
5750,CF,EST,1501,1130,269,2.8,7.9,2009
5750,CF,EST,1501,1131,270,9.1,1.9,2009
5750,CF,EST,1501,1133,272,4.8,0.6,2009
5750,CF,EST,1501,1134,273,7.1,4.2,2009
5750,CF,EST,1501,1135,274,1.3,0.3,2009
5750,CF,EST,1501,1136,275,3.4,8.8,2009
5750,CF,EST,1501,1137,276,2.8,2.2,2009
5750,CF,EST,1501,1138,277,3.8,3.4,2009
5750,CF,EST,1501,1139,278,3,9.9,2009
2107,1-ha,DIM,2107,114,119,6.1,4,2009
5750,CF,EST,1501,1141,280,6.2,1.1,2009
5750,CF,EST,1501,1143,282,5.5,7.5,2009
5750,CF,EST,1501,1144,283,6.8,7.2,2009
5750,CF,EST,1501,1146,285,7.2,2.1,2009
5750,CF,EST,1501,1147,286,7.1,6.8,2009
5750,CF,EST,1501,1148,288,0.8,2.1,2009
5750,CF,EST,1501,1149,289,6.3,8.6,2009
2107,1-ha,DIM,2107,115,120,2.3,6.4,2009
5750,CF,EST,1501,1150,290,3,5.9,2009
5750,CF,EST,1501,1151,291,5.7,5.4,2009
5750,CF,EST,1501,1152,292,10,9,2009
5750,CF,EST,1501,1154,294,9,5.4,2009
5750,CF,EST,1501,1155,295,2.7,4.8,2009
5750,CF,EST,1501,1156,296,2.5,5.6,2009
5750,CF,EST,1501,1157,297,5.9,0.3,2009
5750,CF,EST,1501,1158,298,1.3,6.8,2009
5750,CF,EST,1501,1159,299,8.4,7.7,2009
2107,1-ha,DIM,2107,116,121,6.4,3.2,2009
5750,CF,EST,1501,1160,300,3.8,6.2,2009
5750,CF,EST,1501,1161,301,4.7,8.5,2009
5750,CF,EST,1501,1162,302,3.8,9.4,2009
5750,CF,EST,1501,1163,303,7.1,9.8,2009
5750,CF,EST,1501,1164,304,5.4,4.7,2009
5750,CF,EST,1501,1165,305,4.2,9.5,2009
5750,CF,EST,1501,1166,306,3.3,3.6,2009
5750,CF,EST,1501,1167,307,8.5,4.1,2009
5750,CF,EST,1501,1168,308,2.7,0.2,2009
5750,CF,EST,1501,1169,309,6.3,5.6,2009
2107,1-ha,DIM,2107,117,122,0.8,0.3,2009
5750,CF,EST,1501,1170,310,5.2,9.8,2009
5750,CF,EST,1501,1171,311,4.8,10,2009
5750,CF,EST,1501,1172,312,6.1,2.3,2009
5750,CF,EST,1501,1173,313,4.4,8.3,2009
5750,CF,EST,1501,1174,314,8.2,8.5,2009
5750,CF,EST,1501,1177,318,2.9,4.3,2009
5750,CF,EST,1501,1178,319,1.1,2.8,2009
5750,CF,EST,1501,1179,320,8.3,9.3,2009
2107,1-ha,DIM,2107,118,123,8.6,5.2,2009
5750,CF,EST,1501,1180,321,8,4.8,2009
5750,CF,EST,1501,1181,322,10,8.3,2009
5750,CF,EST,1501,1182,323,8.6,7.5,2009
5750,CF,EST,1501,1183,324,1.8,8.5,2009
5750,CF,EST,1501,1184,325,6.3,4.7,2009
5750,CF,EST,1501,1185,326,5.5,4.8,2009
5750,CF,EST,1501,1186,327,5.4,8,2009
5750,CF,EST,1501,1188,329,2.9,4.4,2009
5750,CF,EST,1501,1189,330,2.1,1.8,2009
2107,1-ha,DIM,2107,119,124,8.6,9.7,2009
5750,CF,EST,1501,1190,331,0.6,2.4,2009
5750,CF,EST,1501,1191,332,3.8,5.7,2009
5750,CF,EST,1501,1192,333,7.6,1.5,2009
5750,CF,EST,1501,1193,334,6.2,4.3,2009
5750,CF,EST,1501,1194,335,0.8,2.3,2009
5750,CF,EST,1501,1195,336,8.6,7.8,2009
5750,CF,EST,1501,1196,337,2.2,2.5,2009
5750,CF,EST,1501,1197,338,0.7,3.5,2009
5750,CF,EST,1501,1198,339,4.4,1.2,2009
5750,CF,EST,1501,1199,340,4.1,7.3,2009
2107,1-ha,DIM,2107,120,125,4.1,5.2,2009
5750,CF,EST,1501,1200,341,9.8,6.6,2009
5750,CF,EST,1501,1202,343,2.3,8.4,2009
5750,CF,EST,1501,1203,344,4.1,1.3,2009
5750,CF,EST,1501,1204,345,8,7.6,2009
5750,CF,EST,1501,1206,347,8.7,1.8,2009
5750,CF,EST,1501,1207,348,0.4,9,2009
5750,CF,EST,1501,1208,350,7,7.9,2009
5750,CF,EST,1501,1209,351,10,3,2009
2107,1-ha,DIM,2107,121,126,3.3,8.2,2009
5750,CF,EST,1501,1211,353,7.9,9,2009
5750,CF,EST,1501,1213,355,9.8,0.5,2009
5750,CF,EST,1501,1214,356,6.7,6.7,2009
5750,CF,EST,1501,1215,357,5,7.3,2009
5750,CF,EST,1501,1216,358,2.8,8.5,2009
5750,CF,EST,1501,1217,359,3.6,1,2009
5750,CF,EST,1501,1218,360,1.8,2.4,2009
2107,1-ha,DIM,2107,122,127,3.1,9.9,2009
5750,CF,EST,1501,1220,362,4.8,2.2,2009
5750,CF,EST,1501,1221,363,5.2,9.9,2009
5750,CF,EST,1501,1222,364,7.9,9.3,2009
5750,CF,EST,1501,1223,365,7.7,3.2,2009
5750,CF,EST,1501,1225,367,1.6,1.5,2009
5750,CF,EST,1501,1226,368,4.8,1.7,2009
5750,CF,EST,1501,1227,369,0.3,4.5,2009
5750,CF,EST,1501,1228,370,0.3,6.9,2009
5750,CF,EST,1501,1229,371,9.6,3,2009
5750,CF,EST,1501,1230,372,2.9,7.6,2009
5750,CF,EST,1501,1231,373,4,5.4,2009
5750,CF,EST,1501,1232,374,8,8.5,2009
5750,CF,EST,1501,1233,375,4.2,4.3,2009
5750,CF,EST,1501,1234,376,3,3,2009
5750,CF,EST,1501,1235,377,3.2,1.2,2009
5750,CF,EST,1501,1236,378,5.5,8.4,2009
5750,CF,EST,1501,1237,379,4.9,5.8,2009
5750,CF,EST,1501,1239,381,3.1,4.5,2009
5750,CF,EST,1501,1240,382,5.9,1.4,2009
5750,CF,EST,1501,1241,383,6.7,5.7,2009
5750,CF,EST,1501,1242,384,5.3,2.3,2009
5750,CF,EST,1501,1243,385,8.9,5.2,2009
5750,CF,EST,1501,1244,386,8.7,4.9,2009
5750,CF,EST,1501,1245,387,1.9,7.2,2009
5750,CF,EST,1501,1246,388,8,5.4,2009
5750,CF,EST,1501,1247,389,1.2,2.4,2009
5750,CF,EST,1501,1248,390,0.2,4.7,2009
5750,CF,EST,1501,1249,391,3,8.5,2009
2107,1-ha,DIM,2107,125,131,6,8.6,2009
5750,CF,EST,1501,1250,392,5.3,7.8,2009
5750,CF,EST,1501,1251,393,9.5,5,2009
5750,CF,EST,1501,1252,394,0.7,6.5,2009
5750,CF,EST,1501,1253,395,4.1,6.4,2009
5750,CF,EST,1501,1254,396,8.5,9.4,2009
5750,CF,EST,1501,1255,397,4,3.9,2009
5750,CF,EST,1501,1257,399,8.3,5.9,2009
5750,CF,EST,1501,1258,400,6,5.8,2009
5750,CF,EST,1501,1259,401,1,3.8,2009
5750,CF,EST,1501,1260,402,0.9,7.9,2009
5750,CF,EST,1501,1261,403,3.8,8.4,2009
5750,CF,EST,1501,1262,404,0,7.8,2009
5750,CF,EST,1501,1263,405,5.1,2.6,2009
5750,CF,EST,1501,1264,406,9.5,4.4,2009
5750,CF,EST,1501,1265,407,4.4,3.9,2009
5750,CF,EST,1501,1266,408,2,7,2009
5750,CF,EST,1501,1268,410,3.7,1,2009
5750,CF,EST,1501,1269,411,4.1,8.4,2009
5750,CF,EST,1501,1270,412,0,0.6,2009
5750,CF,EST,1501,1271,413,2.5,7.6,2009
5750,CF,EST,1501,1272,414,8.2,9.7,2009
